state,city,postcode,lat,lon,weight
Sarawak,Sarikei / Belawai,96100,2.1583,111.3667,2567
Sarawak,Kota Samarahan,94300,1.4611,110.4312,2335
Sarawak,Serian,94700,1.1667,110.5667,2022
Sarawak,Simanggang / Lingga,95000,1.2438,111.3144,1763
Sarawak,Kapit,96800,1.9955,112.9325,1737
Sarawak,Baram / Marudi / Long Lama / Long Terawan / Bario / Long Daloh,98008,3.9407,114.6937,1426
Sarawak,Niah,98200,3.8000,113.7500,1422
Sarawak,Limbang,98708,4.7551,115.0055,1078
Sarawak,Mukah,96400,2.8960,112.1037,1053
Sarawak,Bau / Serikin,94000,1.3834,110.1000,977
Sarawak,Lawas / Sundar / Bakelalan,98850,4.5360,115.4127,942
Sarawak,Bintangor,96500,2.1667,111.6333,907
Sarawak,Lundu / Sematan,94500,1.7372,109.8092,836
Sarawak,Engkelili,95800,1.1386,111.6667,819
Sarawak,Belaga,96950,2.7000,113.7833,750
Sarawak,Saratok / Pusa / Kabong,95400,1.6833,111.2722,707
Sarawak,Siburan / Padawan,94200,1.2917,110.3917,706
Sarawak,Tatau,97200,2.8833,112.8500,636
Sarawak,Betong / Ulu Krian / Budu,95700,1.6056,111.4389,627
Sarawak,Kanowit / Nanga Merit,96700,1.9750,112.4083,627
Sarawak,Bekenu,98150,4.0500,113.8333,617
Sarawak,Julau,96600,2.1540,111.9130,563
Sarawak,Sebauh,97100,3.1500,113.5333,528
Sarawak,Simunjan / Emplanjau,94800,1.3833,110.7500,476
Sarawak,Pakan,96510,2.7833,112.3167,396
Sarawak,Dalat,96300,2.6667,112.0833,318
Sarawak,Song,96850,2.0000,112.5500,280
Sarawak,Daro / Matu,96200,2.6001,111.4817,224
Sarawak,Spaoh,95600,1.5000,111.5000,209
Sarawak,Balingian,96350,2.9000,112.5500,206
Sarawak,Sebuyau / Sebangan,94850,1.4750,110.9333,194
Sarawak,Roban,95300,1.8833,111.3667,193
Sarawak,Debak,95500,1.5667,111.4167,136
Sarawak,Long Lama,98300,3.7667,114.2667,107
Sabah,Sipitang,89857,5.1047,115.5540,8
Sabah,Kuala Penyu,89740,5.5833,115.5500,3
Sabah,Beaufort,89808,5.3473,115.7455,7
Sabah,Tenom,89900,5.1288,115.9319,6
Sabah,Pensiangan,89950,4.5667,116.3167,1
Sabah,Sapulut,89950,4.7000,116.4500,1
Sabah,Nabawan,89957,5.0000,116.4167,8
Sabah,Keningau,88900,5.3378,116.1602,8
Sabah,Papar,89608,5.7333,115.9333,6
Sabah,Kota Kinabalu,88675,5.9804,116.0735,247
Sabah,Tawau,91007,4.2440,117.8912,45
Sabah,Semporna,91307,4.4818,118.6112,10
Sabah,Kunak,91207,4.6860,118.2470,6
Sabah,Lahad datu,91110,5.0229,118.3281,31
Sabah,Kinabatangan,90200,5.5833,118.5333,1
Sabah,Sandakan,90000,5.8402,118.1179,60
Sabah,Beluran,90100,5.8886,117.4852,10
Sabah,Pamol,90400,5.1000,118.2500,1
Sabah,Kota Marudu,89158,6.3500,116.4333,8
Sabah,Kudat,89050,6.8873,116.8236,9
Sabah,Kota Belud,89158,6.3510,116.4305,10
Sabah,Tuaran,89208,6.1828,116.2310,7
Sabah,Kundasan,89307,6.0000,116.6000,1
Sabah,Pulau Banggi,89050,7.1667,117.1167,1
Sabah,Ranau,89307,5.9538,116.6641,21
Sabah,Penampang,89560,5.9288,116.0767,22
Sabah,Kota Kinabatangan,90200,5.5833,118.5333,2
Sabah,Tamparuli,89257,6.1347,116.2610,6
Sabah,Tambunan,89650,5.6653,116.3665,8
Sabah,Membakut,89720,5.5167,115.7833,4
Sabah,Inanam,88805,6.0008,116.1082,2
Sabah,Bongawan,89608,5.7500,115.9167,7
Sabah,Menumbok,89760,5.3000,115.6167,4
Sabah,Tenghilan,89200,6.1180,116.1700,4
Johor,Johor Bahru,80350,1.4927,103.7414,25201
Johor,Skudai,81210,1.5374,103.6578,9767
Johor,Pasir Gudang,81700,1.4556,103.9020,8821
Johor,Kulai,81000,1.6561,103.6032,5922
Johor,Batu Pahat,83000,1.8548,102.9325,4900
Johor,Ulu Tiram,81800,1.6000,103.8167,4558
Johor,Kluang,86000,2.0305,103.3167,4527
Johor,Muar,84000,2.0442,102.5689,4112
Johor,Kota Tinggi,81900,1.7381,103.8999,3132
Johor,Segamat,85000,2.5148,102.8158,3125
Johor,Pekan Nenas,81500,1.5100,103.5141,2533
Johor,Senai,81000,1.6413,103.6698,2121
Johor,Pontian Kechil,82000,1.4866,103.3896,1838
Johor,Tangkak,84900,2.2673,102.5453,1829
Johor,Gelang Patah,81500,1.4836,103.5640,1594
Johor,Yong Peng,83700,2.0136,103.0659,1262
Johor,Iskandar Puteri,79250,1.4145,103.6318,1094
Johor,Simpang Renggam,86200,1.8278,103.3081,896
Johor,Mersing,86807,2.4312,103.8369,841
Johor,Sungai Mati,84500,2.1357,102.6921,634
Johor,Parit Raja,86400,1.8681,103.1124,618
Johor,Parit Jawa,84150,1.9606,102.6354,616
Johor,Labis,85300,2.3850,103.0210,607
Johor,Bukit Pasir,84200,2.0617,102.6714,587
Johor,Bukit Gambir,84800,2.2670,102.7302,535
Johor,Benut,82200,1.6798,103.3783,465
Johor,Rengit,83100,1.6763,103.1803,442
Johor,Jementah,85200,2.3636,102.5677,436
Johor,Pagoh,84600,2.1517,102.6748,409
Johor,Senggarang,83000,1.7833,102.8500,407
Johor,Parit Sulong,83500,1.9973,102.8497,406
Johor,Semerah,83600,1.8667,102.7667,365
Johor,Endau,86900,2.6548,103.6167,354
Johor,Pengerang,81600,1.3540,104.0870,328
Johor,Chaah,85400,2.2490,103.0480,307
Johor,Bandar Penawar,81930,1.5833,104.2333,296
Johor,Kahang,86700,2.0003,103.4264,258
Johor,Ayer Hitam,86100,1.9234,103.1800,258
Johor,Sri Gading,83300,1.7667,102.9500,245
Johor,Ayer Baloi,82100,1.5614,103.3331,245
Johor,Paloh,86600,2.2795,103.1945,226
Johor,Seri Medan,83610,1.9000,102.7167,201
Johor,Kukup,82300,1.3298,103.4289,168
Johor,Johor Lama,81940,1.5869,104.0147,118
Johor,Renggam,86300,1.9114,103.4507,100
Johor,Gerisek,84600,2.1083,102.7483,75
Johor,Sedili,81910,1.9278,104.0786,73
Johor,Bekok,86500,2.6507,103.1504,4
